Area,Year,Week,Cumulative_Week,Counts,Cumulative_Counts
KENTUCKY,2014,7,7,328,1933
LOUISIANA,2014,7,7,0,339
MAINE,2014,7,7,82,139
MARYLAND,2014,7,7,138,646
MASSACHUSETTS,2014,7,7,324,2150
MICHIGAN,2014,7,7,392,2704
MINNESOTA,2014,7,7,0,3
MISSISSIPPI,2014,7,7,636,1513
MISSOURI,2014,7,7,98,807
MONTANA,2014,7,7,56,363
NEBRASKA,2014,7,7,151,440
NEVADA,2014,7,7,0,801
NEW HAMPSHIRE,2014,7,7,0,8
NEW JERSEY,2014,7,7,134,841
NEW MEXICO,2014,7,7,0,739
NEW YORK,2014,7,7,677,3828
NORTH CAROLINA,2014,7,7,689,5654
NORTH DAKOTA,2014,7,7,7,39
OHIO,2014,7,7,478,2162
OKLAHOMA,2014,7,7,47,254
OREGON,2014,7,7,314,1585
PENNSYLVANIA,2014,7,7,738,6079
RHODE ISLAND,2014,7,7,0,206
SOUTH CAROLINA,2014,7,7,161,1917
SOUTH DAKOTA,2014,7,7,29,213
TENNESSEE,2014,7,7,196,1523
TEXAS,2014,7,7,0,2677
UTAH,2014,7,7,61,529
VERMONT,2014,7,7,39,103
VIRGINIA,2014,7,7,628,3100
WASHINGTON,2014,7,7,369,2535
WEST VIRGINIA,2014,7,7,49,313
WISCONSIN,2014,7,7,240,1650
WYOMING,2014,7,7,0,0
ALABAMA,2014,8,8,0,361
ALASKA,2014,8,8,42,260
ARIZONA,2014,8,8,0,0
ARKANSAS,2014,8,8,263,1393
CALIFORNIA,2014,8,8,0,7105
COLORADO,2014,8,8,199,2745
CONNECTICUT,2014,8,8,0,195
DELAWARE,2014,8,8,48,412
FLORIDA,2014,8,8,826,7159
GEORGIA,2014,8,8,246,5053
HAWAII,2014,8,8,1,15
IDAHO,2014,8,8,0,443
ILLINOIS,2014,8,8,19,120
INDIANA,2014,8,8,179,1405
IOWA,2014,8,8,22,202
KANSAS,2014,8,8,0,125
KENTUCKY,2014,8,8,418,2351
LOUISIANA,2014,8,8,64,403
MAINE,2014,8,8,41,180
MARYLAND,2014,8,8,367,1013
MASSACHUSETTS,2014,8,8,392,2542
MICHIGAN,2014,8,8,333,3037
MINNESOTA,2014,8,8,0,3
MISSISSIPPI,2014,8,8,369,1882
MISSOURI,2014,8,8,64,871
MONTANA,2014,8,8,35,398
NEBRASKA,2014,8,8,1,441
NEVADA,2014,8,8,0,801
NEW HAMPSHIRE,2014,8,8,0,8
NEW JERSEY,2014,8,8,145,986
NEW MEXICO,2014,8,8,104,843
NEW YORK,2014,8,8,655,4483
NORTH CAROLINA,2014,8,8,684,6338
NORTH DAKOTA,2014,8,8,6,45
OHIO,2014,8,8,436,2598
OKLAHOMA,2014,8,8,33,287
OREGON,2014,8,8,257,1842
PENNSYLVANIA,2014,8,8,839,6918
RHODE ISLAND,2014,8,8,80,286
SOUTH CAROLINA,2014,8,8,552,2469
SOUTH DAKOTA,2014,8,8,25,238
TENNESSEE,2014,8,8,162,1685
TEXAS,2014,8,8,1819,4496
UTAH,2014,8,8,77,606
VERMONT,2014,8,8,7,110
VIRGINIA,2014,8,8,752,3852
WASHINGTON,2014,8,8,335,2870
WEST VIRGINIA,2014,8,8,87,400
WISCONSIN,2014,8,8,277,1927
WYOMING,2014,8,8,9,9
ALABAMA,2014,9,9,0,361
ALASKA,2014,9,9,28,288
ARIZONA,2014,9,9,0,0
ARKANSAS,2014,9,9,0,1393
CALIFORNIA,2014,9,9,1355,8460
COLORADO,2014,9,9,252,2997
CONNECTICUT,2014,9,9,122,317
DELAWARE,2014,9,9,139,551
FLORIDA,2014,9,9,979,8138
GEORGIA,2014,9,9,1485,6538
