Area,Year,Week,Cumulative_Week,Counts,Cumulative_Counts
KENTUCKY,2014,6,6,43,401
LOUISIANA,2014,6,6,19,97
MAINE,2014,6,6,6,6
MARYLAND,2014,6,6,0,144
MASSACHUSETTS,2014,6,6,79,354
MICHIGAN,2014,6,6,124,592
MINNESOTA,2014,6,6,1,1
MISSISSIPPI,2014,6,6,0,243
MISSOURI,2014,6,6,40,279
MONTANA,2014,6,6,0,17
NEBRASKA,2014,6,6,18,42
NEVADA,2014,6,6,53,198
NEW HAMPSHIRE,2014,6,6,2,16
NEW JERSEY,2014,6,6,23,150
NEW MEXICO,2014,6,6,3,51
NEW YORK,2014,6,6,95,460
NORTH CAROLINA,2014,6,6,460,1498
NORTH DAKOTA,2014,6,6,0,2
OHIO,2014,6,6,81,506
OKLAHOMA,2014,6,6,8,61
OREGON,2014,6,6,34,169
PENNSYLVANIA,2014,6,6,246,1405
RHODE ISLAND,2014,6,6,42,51
SOUTH CAROLINA,2014,6,6,0,530
SOUTH DAKOTA,2014,6,6,0,4
TENNESSEE,2014,6,6,65,305
TEXAS,2014,6,6,0,723
UTAH,2014,6,6,17,87
VERMONT,2014,6,6,0,2
VIRGINIA,2014,6,6,84,455
WASHINGTON,2014,6,6,67,384
WEST VIRGINIA,2014,6,6,6,62
WISCONSIN,2014,6,6,52,296
WYOMING,2014,6,6,0,0
ALABAMA,2014,7,7,0,100
ALASKA,2014,7,7,8,59
ARIZONA,2014,7,7,0,0
ARKANSAS,2014,7,7,104,352
CALIFORNIA,2014,7,7,446,2240
COLORADO,2014,7,7,40,360
CONNECTICUT,2014,7,7,3,6
DELAWARE,2014,7,7,34,150
FLORIDA,2014,7,7,219,1629
GEORGIA,2014,7,7,194,1324
HAWAII,2014,7,7,0,4
IDAHO,2014,7,7,0,9
ILLINOIS,2014,7,7,9,37
INDIANA,2014,7,7,65,317
IOWA,2014,7,7,3,21
KANSAS,2014,7,7,0,27
KENTUCKY,2014,7,7,80,481
LOUISIANA,2014,7,7,0,97
MAINE,2014,7,7,9,15
MARYLAND,2014,7,7,32,176
MASSACHUSETTS,2014,7,7,76,430
MICHIGAN,2014,7,7,89,681
MINNESOTA,2014,7,7,0,1
MISSISSIPPI,2014,7,7,172,415
MISSOURI,2014,7,7,22,301
MONTANA,2014,7,7,4,21
NEBRASKA,2014,7,7,32,74
NEVADA,2014,7,7,0,198
NEW HAMPSHIRE,2014,7,7,0,16
NEW JERSEY,2014,7,7,30,180
NEW MEXICO,2014,7,7,0,51
NEW YORK,2014,7,7,133,593
NORTH CAROLINA,2014,7,7,200,1698
NORTH DAKOTA,2014,7,7,2,4
OHIO,2014,7,7,130,636
OKLAHOMA,2014,7,7,9,70
OREGON,2014,7,7,32,201
PENNSYLVANIA,2014,7,7,187,1592
RHODE ISLAND,2014,7,7,0,51
SOUTH CAROLINA,2014,7,7,46,576
SOUTH DAKOTA,2014,7,7,0,4
TENNESSEE,2014,7,7,57,362
TEXAS,2014,7,7,0,723
UTAH,2014,7,7,5,92
VERMONT,2014,7,7,0,2
VIRGINIA,2014,7,7,135,590
WASHINGTON,2014,7,7,82,466
WEST VIRGINIA,2014,7,7,5,67
WISCONSIN,2014,7,7,41,337
WYOMING,2014,7,7,0,0
